C:\Users\Asus\Desktop\Self Driving Data\IMG\center_2022_11_16_00_02_15_512.jpg, C:\Users\Asus\Desktop\Self Driving Data\IMG\left_2022_11_16_00_02_15_512.jpg, C:\Users\Asus\Desktop\Self Driving Data\IMG\right_2022_11_16_00_02_15_512.jpg, 0, 0, 0, 7.796795E-05
C:\Users\Asus\Desktop\Self Driving Data\IMG\center_2022_11_16_00_02_15_616.jpg, C:\Users\Asus\Desktop\Self Driving Data\IMG\left_2022_11_16_00_02_15_616.jpg, C:\Users\Asus\Desktop\Self Driving Data\IMG\right_2022_11_16_00_02_15_616.jpg, 0, 0, 0, 7.820036E-05
C:\Users\Asus\Desktop\Self Driving Data\IMG\center_2022_11_16_00_02_15_718.jpg, C:\Users\Asus\Desktop\Self Driving Data\IMG\left_2022_11_16_00_02_15_718.jpg, C:\Users\Asus\Desktop\Self Driving Data\IMG\right_2022_11_16_00_02_15_718.jpg, 0, 0, 0, 7.793297E-05
C:\Users\Asus\Desktop\Self Driving Data\IMG\center_2022_11_16_00_02_15_820.jpg, C:\Users\Asus\Desktop\Self Driving Data\IMG\left_2022_11_16_00_02_15_820.jpg, C:\Users\Asus\Desktop\Self Driving Data\IMG\right_2022_11_16_00_02_15_820.jpg, 0, 0, 0, 7.830413E-05
C:\Users\Asus\Desktop\Self Driving Data\IMG\center_2022_11_16_00_02_15_921.jpg, C:\Users\Asus\Desktop\Self Driving Data\IMG\left_2022_11_16_00_02_15_921.jpg, C:\Users\Asus\Desktop\Self Driving Data\IMG\right_2022_11_16_00_02_15_921.jpg, 0, 0, 0, 7.788734E-05
C:\Users\Asus\Desktop\Self Driving Data\IMG\center_2022_11_16_00_02_16_023.jpg, C:\Users\Asus\Desktop\Self Driving Data\IMG\left_2022_11_16_00_02_16_023.jpg, C:\Users\Asus\Desktop\Self Driving Data\IMG\right_2022_11_16_00_02_16_023.jpg, 0, 0.0350169, 0, 0.01131506
C:\Users\Asus\Desktop\Self Driving Data\IMG\center_2022_11_16_00_02_16_127.jpg, C:\Users\Asus\Desktop\Self Driving Data\IMG\left_2022_11_16_00_02_16_127.jpg, C:\Users\Asus\Desktop\Self Driving Data\IMG\right_2022_11_16_00_02_16_127.jpg, 0, 0.3448872, 0, 0.2545358
C:\Users\Asus\Desktop\Self Driving Data\IMG\center_2022_11_16_00_02_16_230.jpg, C:\Users\Asus\Desktop\Self Driving Data\IMG\left_2022_11_16_00_02_16_230.jpg, C:\Users\Asus\Desktop\Self Driving Data\IMG\right_2022_11_16_00_02_16_230.jpg, 0, 0.6353632, 0, 0.8783451
C:\Users\Asus\Desktop\Self Driving Data\IMG\center_2022_11_16_00_02_16_336.jpg, C:\Users\Asus\Desktop\Self Driving Data\IMG\left_2022_11_16_00_02_16_336.jpg, C:\Users\Asus\Desktop\Self Driving Data\IMG\right_2022_11_16_00_02_16_336.jpg, 0, 0.9512554, 0, 1.892473
C:\Users\Asus\Desktop\Self Driving Data\IMG\center_2022_11_16_00_02_16_438.jpg, C:\Users\Asus\Desktop\Self Driving Data\IMG\left_2022_11_16_00_02_16_438.jpg, C:\Users\Asus\Desktop\Self Driving Data\IMG\right_2022_11_16_00_02_16_438.jpg, -0.305808, 1, 0, 3.291902
